event-id,visible,timestamp,location-long,location-lat,locality,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
36178092919,TRUE,50:26.0,130.3216,-0.0755,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092920,TRUE,23:42.0,130.3153,-0.0771,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092921,TRUE,46:37.0,130.3023,-0.0856,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092922,TRUE,55:35.0,130.3265,-0.0747,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092923,TRUE,05:44.0,130.3228,-0.0804,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092924,TRUE,55:45.0,130.3023,-0.084,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092925,TRUE,02:04.0,130.3934,-0.0204,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092926,TRUE,15:59.0,130.3881,-0.0203,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092927,TRUE,18:00.0,130.3985,-0.066,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092928,TRUE,17:18.0,130.4308,-0.0648,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092929,TRUE,56:06.0,130.4193,-0.062,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092930,TRUE,27:24.0,130.3449,0.0088,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092931,TRUE,24:21.0,130.3288,0.0087,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092932,TRUE,01:57.0,130.4138,-0.0758,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092933,TRUE,12:35.0,130.3322,-0.0706,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092934,TRUE,57:07.0,130.369,-0.0731,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092935,TRUE,24:31.0,130.3661,-0.0708,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092936,TRUE,10:21.0,130.4228,0.051,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092937,TRUE,00:06.0,130.4084,0.0636,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
36178092938,TRUE,44:30.0,130.4012,0.0789,Raja Ampat,gps,Mobula,140899,140899,Reef manta ray (Mobula alfredi) home range in Indonesia
